Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,119000.000000,121000.000000,119000.000000,119500.000000,118386.992188,5203286
2022-03-08,117000.000000,119500.000000,116500.000000,118000.000000,116900.968750,3619045
2022-03-10,118000.000000,118000.000000,118000.000000,118000.000000,116900.968750,0
2022-03-11,118000.000000,118000.000000,118000.000000,118000.000000,116900.968750,0
2022-03-14,115500.000000,117000.000000,114500.000000,116000.000000,114919.593750,3172353
2022-03-15,116000.000000,116000.000000,116000.000000,116000.000000,114919.593750,0
2022-03-16,116000.000000,116000.000000,116000.000000,116000.000000,114919.593750,0
2022-03-17,116000.000000,116000.000000,116000.000000,116000.000000,114919.593750,0
2022-03-18,124000.000000,125000.000000,121000.000000,124000.000000,122845.078125,4493159
2022-03-21,124000.000000,124000.000000,124000.000000,124000.000000,122845.078125,0
2022-03-22,121000.000000,124000.000000,121000.000000,123500.000000,122349.734375,2246439
2022-03-23,124000.000000,124500.000000,122000.000000,123500.000000,122349.734375,4085633
2022-03-24,121000.000000,122000.000000,119500.000000,120500.000000,119377.679688,4215272
2022-03-25,122000.000000,123000.000000,118000.000000,118000.000000,116900.968750,5514940
2022-03-28,117500.000000,119500.000000,116500.000000,118000.000000,116900.968750,3234792
2022-03-29,119500.000000,120500.000000,118500.000000,120000.000000,118882.335938,3375247
2022-03-30,123000.000000,123000.000000,120500.000000,121000.000000,120173.453125,3436282
2022-03-31,119500.000000,120000.000000,117500.000000,118000.000000,117193.953125,4558063
2022-04-01,117000.000000,117500.000000,116000.000000,116000.000000,115207.609375,3851558
2022-04-04,115000.000000,117500.000000,114500.000000,117000.000000,116200.781250,2470792
2022-04-05,117500.000000,118000.000000,116000.000000,116500.000000,115704.203125,2101474
2022-04-06,114500.000000,115500.000000,113000.000000,113000.000000,112228.109375,4541938
2022-04-07,111500.000000,114500.000000,110500.000000,113500.000000,112724.687500,5027865
2022-04-08,113000.000000,114000.000000,110500.000000,112000.000000,111234.937500,4268316
2022-04-11,111000.000000,113000.000000,110500.000000,111500.000000,110738.351563,2390786
2022-04-12,110500.000000,113000.000000,110500.000000,111000.000000,110241.765625,2738163
2022-04-13,112000.000000,113000.000000,111000.000000,113000.000000,112228.109375,2484490
2022-04-14,113000.000000,113000.000000,110000.000000,110000.000000,109248.601563,4715700
2022-04-15,108000.000000,108500.000000,107000.000000,108000.000000,107262.265625,3694012
2022-04-18,107000.000000,109500.000000,106500.000000,109000.000000,108255.429688,2670439
2022-04-19,110000.000000,112500.000000,109500.000000,112500.000000,111731.515625,3021192
2022-04-20,112500.000000,113000.000000,111000.000000,112500.000000,111731.515625,2905007
2022-04-21,112500.000000,115000.000000,112500.000000,113000.000000,112228.109375,3199858
